,dataset_name,xgb_mean,xgb_std,xgb_time,ebm_no_interactions_mean,ebm_no_interactions_std,ebm_no_interactions_time,ebm_mean,ebm_std,ebm_time
0,feynman_I_6_2b,0.9966707155268347,0.0002610458125170672,25.995540142059326,0.7305697864113737,0.010095276766232033,14.045011043548584,0.8959384758990065,0.003685645195425174,27.377342462539673
1,feynman_I_8_14,0.9891416233053615,0.000397050279929051,31.51233458518982,0.22859699602484898,0.011032033504615398,13.208467483520508,0.9661890076267443,0.00027245191238518677,45.140058755874634
2,feynman_I_9_18,0.9769004482739845,0.0005592880143979773,36.03111004829407,0.9099246331241696,0.002275164592086193,25.83630895614624,0.9451263670685309,0.0014745995126103954,56.847583293914795
3,feynman_I_10_7,0.999833902593666,5.225646899007067e-06,30.1983323097229,0.9965345785092415,0.00018705515644592524,10.022069931030273,0.9993976131531126,4.7051052567749125e-05,16.57258939743042
4,feynman_I_12_2,0.9933596482098203,0.0005532483400915751,30.406872749328613,0.6758684035064392,0.01080329049869133,12.147126913070679,0.9496915659239592,0.0033151685300491377,42.16486978530884
5,feynman_I_12_4,0.9979378412235166,0.00017104511005029425,29.689870595932007,0.7490313795419791,0.004568832440977907,9.999736070632935,0.9778356959249648,0.0011516502210658264,25.434001207351685
6,feynman_I_12_11,0.9964509245835711,0.00011321416058644622,32.73003315925598,0.6748749872427716,0.003699127438891994,14.543388843536377,0.9546059482077766,0.0006779796135334791,56.715105056762695
7,feynman_I_13_12,0.9917532241720934,0.00034230090136027627,33.187883615493774,0.65929821846195,0.004663910279805994,14.633790969848633,0.9506567901182921,0.0014159989706473825,65.66477990150452
8,feynman_I_14_3,0.9986809127584084,4.525057783887576e-05,30.472896814346313,0.8650064239543424,0.002197961191327617,10.248918771743774,0.9923634420018594,0.00021360255866222845,23.745957612991333
9,feynman_I_18_12,0.9991106663220325,1.622448685278064e-05,31.487602472305298,0.7604001721742135,0.002369914281556014,11.130715608596802,0.980924342571152,0.00025462591270633225,32.8776535987854
10,feynman_I_24_6,0.9962597913007084,0.00010006878319743753,31.440753698349,0.8641913929097387,0.0018891191566109478,12.936837196350098,0.992864344891254,0.00022225202515137074,38.8875732421875
11,feynman_I_29_16,0.9832728450187641,0.0008881814434791351,31.651039123535156,0.29798838398552685,0.007059534493231935,12.392868995666504,0.9023948763858509,0.002095346874906667,81.81946778297424
12,feynman_I_30_5,0.9985090279716295,5.974806776015549e-05,31.860217094421387,0.9054665932539034,0.0037268231634183776,9.57603669166565,0.994650185316661,0.000536230429211228,23.0935218334198
13,feynman_I_32_5,0.9883781556854652,0.0010165252203856025,30.570184230804443,0.4436664932884403,0.014897350663624527,11.81482481956482,0.8351011705307816,0.00854076800776831,40.087921142578125
14,feynman_I_34_8,0.9949102629262212,0.00026581668270152725,33.859790086746216,0.7807647099158272,0.004286949225486003,12.207671880722046,0.9752663789392957,0.0007633700646881959,41.71024417877197
15,feynman_I_34_1,0.9990666639175643,5.042376501531504e-05,30.40825915336609,0.9552654324705492,0.0012993716075066534,10.008857011795044,0.9963561679089711,0.00021182638384410058,21.482409238815308
16,feynman_I_37_4,0.9988507368178798,4.4384495013660996e-05,29.939197540283203,0.9265152303859562,0.0006555208414152587,11.90152359008789,0.9962257526752506,0.00010288679866738912,33.05650281906128
17,feynman_I_38_12,0.9926686185637749,0.0004567706021840659,30.69996166229248,0.5787794922739815,0.015849178156579952,12.522530317306519,0.9125780685746919,0.006010818388397054,43.82694411277771
18,feynman_I_39_11,0.9984152701458717,7.164155032764564e-05,30.17185688018799,0.8595524931984514,0.0019691311863113785,9.974220275878906,0.9916998031699416,0.0002625094260198946,24.092639207839966
19,feynman_I_39_22,0.994827637990858,0.0002729657677812438,31.303428411483765,0.7806563472282934,0.005626959438413108,12.336475849151611,0.9752381078798118,0.0008409509907724593,40.72096276283264
20,feynman_I_40_1,0.9806149216255349,0.0008085130853936966,32.95992112159729,0.7363615210354442,0.002951975309754397,16.916815280914307,0.89864601368159,0.0029321362565474258,59.841904163360596
21,feynman_I_43_16,0.9948639493261473,0.0001139075654018342,31.101391792297363,0.7800107427080168,0.003728602231685422,12.912842035293579,0.9751623281510164,0.0006227325164875801,40.999672174453735
22,feynman_I_43_31,0.9987077958533664,6.172684064020298e-05,30.094337701797485,0.8659735198784491,0.0012114995628898294,10.017548561096191,0.9924984854481277,0.00015319517727058107,24.08470058441162
23,feynman_I_44_4,0.9915906645815253,0.000392959423888545,32.4227659702301,0.6568316388418213,0.004549712085969742,15.122593402862549,0.9511167982231921,0.0012650217456141911,66.05513405799866
24,feynman_I_47_23,0.9986056886512221,7.250725786970214e-05,30.18177556991577,0.955654987467776,0.0006627611237918356,9.895017623901367,0.998464156088428,4.76716827764917e-05,21.42405915260315
25,feynman_II_2_42,0.989956790991019,0.00034641496954672033,32.26540803909302,0.6154030454341999,0.006036797256983896,14.183889150619507,0.9371300642240927,0.0019144458749889058,65.23900413513184
26,feynman_II_3_24,0.9997796397624334,1.3380758849554172e-05,28.133089542388916,0.8845690091190891,0.0029081202717443793,7.48413872718811,0.998260903112224,8.119384831049357e-05,13.573721885681152
27,feynman_II_4_23,0.9980128894630586,9.345416873932875e-05,29.210224628448486,0.8226816959654746,0.002951442420783345,9.991668701171875,0.9868772410545636,0.0005287486042246268,24.738409996032715
28,feynman_II_6_11,0.9965742364517812,0.0002212839462079964,31.365554094314575,0.6318504003915085,0.006177597230656712,11.896541833877563,0.9506980655547357,0.0020704789886530008,41.86672520637512
29,feynman_II_6_15a,0.9908600377081148,0.0008905604445628534,31.87828540802002,0.7514713762500191,0.009823777704914802,17.649125337600708,0.9671009849051948,0.0026335101539396067,62.466500997543335
30,feynman_II_6_15b,0.995605002784095,0.0002511468589937579,31.303675651550293,0.4776123183803759,0.007670458563516916,13.09821081161499,0.9191187306043294,0.00312478463113728,60.59265995025635
31,feynman_II_8_7,0.9978809451660438,0.0001442440052187495,29.87699055671692,0.755772810703414,0.005492483732070782,9.99370002746582,0.9763920513233961,0.0008377642211899978,24.67656111717224
32,feynman_II_10_9,0.9982963512015306,0.00011922473593572834,30.10531258583069,0.8600904689485622,0.0024054184563980373,10.18520975112915,0.9918360937264588,0.00042655447029919466,24.33087468147278
33,feynman_II_11_3,0.9933452799655649,0.0002901149923879293,32.030664682388306,0.8508711252168576,0.0038458553248472646,15.002959251403809,0.9870535826182912,0.0008924183299990849,58.92927598953247
34,feynman_II_11_20,0.9865204905300802,0.0012547616506213442,31.932983875274658,0.6355378978041487,0.01136750986894888,14.405141592025757,0.9242499458290239,0.005610462451066343,63.89746451377869
35,feynman_II_13_17,0.9920047945704982,0.0006314234463380373,30.619809865951538,0.6423395856372339,0.01528742209839533,11.994792938232422,0.938184085711281,0.0058332222263825844,43.01805067062378
36,feynman_II_13_23,0.9998371943939729,7.221021449770839e-06,30.166316747665405,0.9964370345978437,0.00012969279191465816,10.05275821685791,0.9993937486073212,3.470385442311677e-05,16.618610382080078
37,feynman_II_15_4,0.9987647259070703,6.994085448315766e-05,29.571777820587158,0.7921999509018012,0.0035161989326683743,11.566524028778076,0.9831187217552315,0.00046829397319608974,39.63574838638306
38,feynman_II_15_5,0.998700813072932,4.280827387194221e-05,30.353623390197754,0.7899600440302686,0.0015131815100029723,11.68085789680481,0.9830255693912378,0.0003993848215665635,39.35918593406677
39,feynman_II_21_32,0.9931514290955104,0.0005310042823879626,32.72270107269287,0.7973035849924387,0.007875419052773896,15.19169545173645,0.9785861077170969,0.003235914304176913,60.81192374229431
40,feynman_II_24_17,0.9995335411875418,2.2083107832240016e-05,30.258096933364868,0.9915102926305227,0.00011304531112104077,10.206018686294556,0.9994714240084814,1.728224899620899e-05,17.88994812965393
41,feynman_II_27_16,0.9987284383174411,8.381759911053514e-05,29.75921893119812,0.8165525007324093,0.002489719212986127,9.747679710388184,0.9875343015314311,0.0002835340286448287,23.9581515789032
42,feynman_II_27_18,0.9998218707894037,1.4659473522985877e-05,28.509100914001465,0.8985064294447739,0.001347380884265458,7.819092035293579,0.9989957280194492,2.7626764752436016e-05,13.400524854660034
43,feynman_II_34_2a,0.9983682332012276,8.220548554895341e-05,29.64766263961792,0.8440143053322489,0.0025788635473872963,9.950678586959839,0.9901302868864208,0.0003749695066456213,24.240798711776733
44,feynman_II_34_2,0.9987071939779426,4.408805175803691e-05,30.299859762191772,0.8659267661439152,0.001231746760038497,10.111044883728027,0.9925386067942383,0.00013439216053937283,23.85551381111145
45,feynman_II_34_11,0.9949205408478423,0.00020624576153880825,31.163511753082275,0.7789489395240476,0.0029565368859487584,12.66189694404602,0.9749978619956845,0.0007536503772428729,41.91605186462402
46,feynman_II_34_29a,0.9983697468562938,5.159455448236523e-05,30.21691083908081,0.846002119251804,0.0019134472914260376,9.868382453918457,0.9901153752498507,0.0002118803535094789,24.339287519454956
47,feynman_II_34_29b,0.989349575208549,0.0003589442551392378,33.74570393562317,0.7187701425519581,0.002613319116767839,14.791309118270874,0.9550292554729415,0.0010357804063428771,64.83609580993652
48,feynman_II_36_38,0.9819737098252798,0.0005732718881938614,35.58984875679016,0.8373521636745181,0.0033235467079893227,20.987794160842896,0.9521614906256624,0.0025826388829876695,65.83227181434631
49,feynman_II_37_1,0.9986973342905221,7.147203172970964e-05,31.12945866584778,0.8862845465399551,0.000940720957268383,9.162017822265625,0.9945125897540583,0.00010692435492256745,22.728001832962036
50,feynman_II_38_3,0.994737838483517,0.00026187265486350215,32.71713066101074,0.7818829649008393,0.0032581623327596052,11.665380239486694,0.9753898206528466,0.0007868787781588603,41.62282681465149
51,feynman_III_4_32,0.993957396485954,0.0003380859557217838,32.173213958740234,0.7566280379097414,0.005000602552837318,11.248844146728516,0.9700718241028341,0.0013208971919971232,41.471407651901245
52,feynman_III_7_38,0.9983967608515265,6.620773942843376e-05,30.990546941757202,0.8453752144345188,0.0016478233940842573,9.304040431976318,0.9900932269486462,0.00036306514710659495,23.79922342300415
53,feynman_III_8_54,0.6110096809047326,0.010390122635054115,30.36518406867981,0.020236557541767584,0.003094607283076201,7.734268665313721,0.07429824694207124,0.0037230513716614974,34.66074204444885
54,feynman_III_10_19,0.9978605414445989,7.76266872946302e-05,32.44169569015503,0.9633919104630442,0.0007014047283410312,11.865636587142944,0.9985880020038337,3.53468443074486e-05,31.55337405204773
55,feynman_III_13_18,0.9951490415376059,0.00015639249582424949,32.337175130844116,0.716884385817423,0.0035542479766084143,11.0054190158844,0.960868119608779,0.0007512839598954652,40.490601539611816
56,feynman_III_14_14,0.9859169830616604,0.0013497061776042794,33.07860827445984,0.6701013778737273,0.014186949997369034,13.593013048171997,0.917309257448775,0.007046547588532171,63.89313626289368
57,feynman_III_15_12,0.9772607210760602,0.0010281036715962663,31.71760654449463,0.2522080538124298,0.007971207581931934,11.166734457015991,0.5835330075414823,0.00379176201692496,67.20591163635254
58,feynman_III_15_14,0.9974163220205753,0.0002801158543600788,30.63243007659912,0.6465412533342773,0.004812087106424148,9.220850229263306,0.9530846347253119,0.0020921565793120844,24.90577268600464
59,feynman_III_15_27,0.9980381495061762,7.750974834137901e-05,31.007622241973877,0.820968421943069,0.004969312718813637,9.1237154006958,0.9868250235640129,0.0005269096970396806,24.210151195526123
60,feynman_III_17_37,0.9988321676627134,5.1300198185868595e-05,31.58422875404358,0.7709000811898045,0.002905467301219543,10.615647077560425,0.9813289281884169,0.0005318456069877859,39.78403449058533
61,feynman_III_19_51,0.9375123920533157,0.01111038930476143,32.26862716674805,0.22095744466195083,0.031657190883772696,11.942915916442871,0.5751011926674752,0.04406273001430627,53.56608557701111
62,feynman_III_21_20,0.9947626017020201,0.00018467490501976707,32.33887434005737,0.7798447484966239,0.00442725278717434,11.469352722167969,0.9753582248752206,0.0006333083805731631,41.96379518508911
